sample	celltype	fraction
Mix3	Macrophages_M0	0.0728597064381178
Mix3	Macrophages_M1	0.0520491820245975
Mix3	Macrophages_M2	0.0312601751222513
Mix3	Dendritic_cells_resting	0.0208950883898631
Mix3	Dendritic_cells_activated	0.0104414572192976
Mix3	Mast_cells_resting	0.0104674599572817
Mix3	Mast_cells_activated	0.0103678242235743
Mix3	Eosinophils	6.23107537252868e-6
Mix3	Neutrophils	0
Mix3	Lymphocytes_Aggregate1	0.6772854343866408
Mix3	Neutrophils_Aggregate1	0
Mix3	Eosinophils_Aggregate1	6.23107537252868e-6
Mix3	Mast_cells_Aggregate1	0.020835284180856
Mix3	Dendritic_cells_Aggregate1	0.0313365456091607
Mix3	Macrophage_Aggregate1	0.2705365047479696
Mix3	Neutrophils_Aggregate2	0
Mix3	Eosinophils_Aggregate2	6.23107537252868e-6
Mix3	Mast_cells_Aggregate2	0.020835284180856
Mix3	Dendritic_cells_Aggregate2	0.0313365456091607
Mix3	Macrophage_Aggregate2	0.1561690635849666
Mix3	NK_cells_Aggregate2	0.35434804174588597
Mix3	B_cells_Aggregate2	1.68636884817833e-4
Mix3	T_cells_CD8_Aggregate2	0.0103466255057788
Mix3	T_cells_CD4_Aggregate2	0.0622932893436636
Mix3	B_cells_Aggregate3	1.68636884817833e-4
Mix3	Plasma_cells_Aggregate3	0.0100723291717678
Mix3	T_cells_CD8_Aggregate3	0.0103466255057788
Mix3	T_cells_CD4_Aggregate3	0.1873585409960094
Mix3	T_cells_gamma_delta_Aggregate3	0.114991260082381
Mix3	NK_cells_Aggregate3	0.35434804174588597
Mix3	Macrophage_Aggregate3	0.2705365047479696
Mix3	Dendritic_cells_Aggregate3	0.0313365456091607
Mix3	Mast_cells_Aggregate3	0.020835284180856
Mix3	Neutrophils_Aggregate3	0
Mix3	Eosinophils_Aggregate3	6.23107537252868e-6
Mix4	B_cells_naive	0.174040584936522
Mix4	B_cells_memory	0.122633084050245
Mix4	Plasma_cells	0.0790549497649625
Mix4	T_cells_CD8	0.0613055153140285
Mix4	T_cells_CD4_naive	0.0308809546289227
Mix4	T_cells_CD4_memory_resting	0.0204200689774713
Mix4	T_cells_CD4_memory_activated	0.0102983578286227
Mix4	T_cells_follicular_helper	0
Mix4	T_cells_regulatory_Tregs	0
Mix4	T_cells_gamma_delta	3.51330724092554e-5
Mix4	NK_cells_resting	4.43791257170703e-5
Mix4	NK_cells_activated	0
Mix4	Monocytes	6.04022053999697e-5
Mix4	Macrophages_M0	1.2239699407836e-4
Mix4	Macrophages_M1	1.28752988742302e-5
Mix4	Macrophages_M2	0.0101816948149978
Mix4	Dendritic_cells_resting	0.0204110893950172
Mix4	Dendritic_cells_activated	0.0307010698079041
Mix4	Mast_cells_resting	0.0615710229060819
Mix4	Mast_cells_activated	0.081629807791384
Mix4	Eosinophils	0.122676358663929
Mix4	Neutrophils	0.173920254423432
Mix4	Lymphocytes_Aggregate1	0.498713027698901
Mix4	Neutrophils_Aggregate1	0.173920254423432
Mix4	Eosinophils_Aggregate1	0.122676358663929
Mix4	Mast_cells_Aggregate1	0.1432008306974659
Mix4	Dendritic_cells_Aggregate1	0.051112159202921295
Mix4	Macrophage_Aggregate1	0.01037736931335036
Mix4	Neutrophils_Aggregate2	0.173920254423432
Mix4	Eosinophils_Aggregate2	0.122676358663929
Mix4	Mast_cells_Aggregate2	0.1432008306974659
Mix4	Dendritic_cells_Aggregate2	0.051112159202921295
Mix4	Macrophage_Aggregate2	0.01031696710795039
Mix4	NK_cells_Aggregate2	4.43791257170703e-5
Mix4	B_cells_Aggregate2	0.296673668986767
Mix4	T_cells_CD8_Aggregate2	0.0613055153140285
Mix4	T_cells_CD4_Aggregate2	0.0615993814350167
Mix4	B_cells_Aggregate3	0.296673668986767
Mix4	Plasma_cells_Aggregate3	0.0790549497649625
Mix4	T_cells_CD8_Aggregate3	0.0613055153140285
Mix4	T_cells_CD4_Aggregate3	0.0615993814350167
Mix4	T_cells_gamma_delta_Aggregate3	3.51330724092554e-5
Mix4	NK_cells_Aggregate3	4.43791257170703e-5
Mix4	Macrophage_Aggregate3	0.01037736931335036
Mix4	Dendritic_cells_Aggregate3	0.051112159202921295
Mix4	Mast_cells_Aggregate3	0.1432008306974659
Mix4	Neutrophils_Aggregate3	0.173920254423432
Mix4	Eosinophils_Aggregate3	0.122676358663929
Mix5	B_cells_naive	0
Mix5	B_cells_memory	0
Mix5	Plasma_cells	9.80822914932737e-6
Mix5	T_cells_CD8	0
Mix5	T_cells_CD4_naive	8.17629558738982e-6
Mix5	T_cells_CD4_memory_resting	0
Mix5	T_cells_CD4_memory_activated	3.08242096036519e-5
Mix5	T_cells_follicular_helper	0.010354103629314
Mix5	T_cells_regulatory_Tregs	0.0309296508949898
Mix5	T_cells_gamma_delta	0.0413411029707974
Mix5	NK_cells_resting	0.0309931203729042
Mix5	NK_cells_activated	0.0205715066947913
Mix5	Monocytes	0.020572397290755
Mix5	Macrophages_M0	0.0412521213608073
Mix5	Macrophages_M1	0.092723094130638
Mix5	Macrophages_M2	0.113370985937984
Mix5	Dendritic_cells_resting	0.0825269641989812
Mix5	Dendritic_cells_activated	0.0515473638586567
Mix5	Mast_cells_resting	0.0413583134730958
Mix5	Mast_cells_activated	0.0720922738270779
Mix5	Eosinophils	0.144228293054139
Mix5	Neutrophils	0.206089899570728
Mix5	Lymphocytes_Aggregate1	0.13423829329713707
Mix5	Neutrophils_Aggregate1	0.206089899570728
Mix5	Eosinophils_Aggregate1	0.144228293054139
Mix5	Mast_cells_Aggregate1	0.11345058730017371
Mix5	Dendritic_cells_Aggregate1	0.13407432805763791
Mix5	Macrophage_Aggregate1	0.2679185987201843
Mix5	Neutrophils_Aggregate2	0.206089899570728
Mix5	Eosinophils_Aggregate2	0.144228293054139
Mix5	Mast_cells_Aggregate2	0.11345058730017371
Mix5	Dendritic_cells_Aggregate2	0.13407432805763791
Mix5	Macrophage_Aggregate2	0.2473462014294293
Mix5	NK_cells_Aggregate2	0.051564627067695504
Mix5	B_cells_Aggregate2	0
Mix5	T_cells_CD8_Aggregate2	0
Mix5	T_cells_CD4_Aggregate2	3.900050519104172e-5
Mix5	B_cells_Aggregate3	0
Mix5	Plasma_cells_Aggregate3	9.80822914932737e-6
Mix5	T_cells_CD8_Aggregate3	0
Mix5	T_cells_CD4_Aggregate3	0.04132275502949484
Mix5	T_cells_gamma_delta_Aggregate3	0.0413411029707974
Mix5	NK_cells_Aggregate3	0.051564627067695504
Mix5	Macrophage_Aggregate3	0.2679185987201843
Mix5	Dendritic_cells_Aggregate3	0.13407432805763791
Mix5	Mast_cells_Aggregate3	0.11345058730017371
Mix5	Neutrophils_Aggregate3	0.206089899570728
Mix5	Eosinophils_Aggregate3	0.144228293054139
