sample	B_cells_memory	B_cells_naive	Dendritic_cells_activated	Dendritic_cells_resting	Eosinophils	Macrophages_M0	Macrophages_M1	Macrophages_M2	Mast_cells_activated	Mast_cells_resting	Monocytes	Neutrophils	NK_cells_activated	NK_cells_resting	Plasma_cells	T_cells_CD4_memory_activated	T_cells_CD4_memory_resting	T_cells_CD4_naive	T_cells_CD8	T_cells_follicular_helper	T_cells_gamma_delta	T_cells_regulatory_Tregs	Lymphocytes_Aggregate1	Neutrophils_Aggregate1	Eosinophils_Aggregate1	Mast_cells_Aggregate1	Dendritic_cells_Aggregate1	Macrophage_Aggregate1	Neutrophils_Aggregate2	Eosinophils_Aggregate2	Mast_cells_Aggregate2	Dendritic_cells_Aggregate2	Macrophage_Aggregate2	NK_cells_Aggregate2	B_cells_Aggregate2	T_cells_CD8_Aggregate2	T_cells_CD4_Aggregate2	B_cells_Aggregate3	Plasma_cells_Aggregate3	T_cells_CD8_Aggregate3	T_cells_CD4_Aggregate3	T_cells_gamma_delta_Aggregate3	NK_cells_Aggregate3	Macrophage_Aggregate3	Dendritic_cells_Aggregate3	Mast_cells_Aggregate3	Neutrophils_Aggregate3	Eosinophils_Aggregate3
Mix1	0.158607213935158	0.180014715607914	2.99743429224209e-5	3.64444847445268e-4	2.84436839797628e-4	0.0103233959943776	0.0101009908215099	0.0102708975517313	0	8.27462228812025e-4	0.0107663401489408	0	0.0191760585907722	0.0208196731126071	0.123526279237468	0.06160009764231	0.0734175903496181	0.0867231557225211	0.111047442471099	0.0518228579555542	0.0309665085402898	0.0393104640591524	0.9570320572244639	0	2.84436839797628e-4	8.27462228812025e-4	3.944191903676889e-4	0.0414616245165596	0	2.84436839797628e-4	8.27462228812025e-4	3.944191903676889e-4	0.0306952843676188	0.039995731703379306	0.338621929543072	0.111047442471099	0.2217408437144492	0.338621929543072	0.123526279237468	0.111047442471099	0.31287416572915583	0.0309665085402898	0.039995731703379306	0.0414616245165596	3.944191903676889e-4	8.27462228812025e-4	0	2.84436839797628e-4
Mix2	0	0.198851264086363	0	0.0397115233835864	0.019806195305352	9.48969800207434e-5	0.0400442594951929	0	0	0.0200578819293537	0.0496775169357621	0	0	0.0795112353960438	0.183922932432569	0.0979754579139712	0	0.179240242523881	4.36190124982881e-4	6.62165620423131e-5	5.88154816360493e-4	0.0900160321145187	0.8306077259707324	0	0.019806195305352	0.0200578819293537	0.0397115233835864	0.08981667341097574	0	0.019806195305352	0.0200578819293537	0.0397115233835864	0.04013915647521364	0.0795112353960438	0.198851264086363	4.36190124982881e-4	0.2772157004378522	0.198851264086363	0.183922932432569	4.36190124982881e-4	0.3672979491144132	5.88154816360493e-4	0.0795112353960438	0.08981667341097574	0.0397115233835864	0.0200578819293537	0	0.019806195305352
Mix3	7.13701235045868e-4	0	0.0107086692087835	0.0209648947534277	1.10577565530686e-4	0.0725224015486481	0.0521928432845994	0.0318354236849382	0.0112387413432241	0.00977741766919974	0.114019700114478	3.43154780281087e-4	0.177943889452464	0.178128700208189	0.0100655155418671	0.0309174555809182	0.0202297596164448	0.0107279331494314	0.0103840159045858	0.0518030111680259	0.112315993710737	0.0730562004791811	0.6762861760468901	3.43154780281087e-4	1.10577565530686e-4	0.02101615901242384	0.0316735639622112	0.2705703686326637	3.43154780281087e-4	1.10577565530686e-4	0.02101615901242384	0.0316735639622112	0.1565506685181857	0.356072589660653	7.13701235045868e-4	0.0103840159045858	0.061875148346794404	7.13701235045868e-4	0.0100655155418671	0.0103840159045858	0.1867343599940014	0.112315993710737	0.356072589660653	0.2705703686326637	0.0316735639622112	0.02101615901242384	3.43154780281087e-4	1.10577565530686e-4
Mix4	0.12439026634805	0.175037510102156	0.0305472980868582	0.0198328107813891	0.120727075607873	0	0	0.00990079577646624	0.0820011286392243	0.0629710179705013	0	0.174703239137895	8.63864355468501e-5	0	0.0781207067906236	0.010047786913739601	0.0199270809833061	0.0306309587252145	0.0608952482493834	1.30450951321318e-4	5.02385004509848e-5	0	0.49931663399979237	0.174703239137895	0.120727075607873	0.1449721466097256	0.0503801088682473	0.00990079577646624	0.174703239137895	0.120727075607873	0.1449721466097256	0.0503801088682473	0.00990079577646624	8.63864355468501e-5	0.299427776450206	0.0608952482493834	0.0606058266222602	0.299427776450206	0.0781207067906236	0.0608952482493834	0.06073627757358152	5.02385004509848e-5	8.63864355468501e-5	0.00990079577646624	0.0503801088682473	0.1449721466097256	0.174703239137895	0.120727075607873
Mix5	0	7.31153870759831e-5	0.0510668622188349	0.0811196603831078	0.144241260399595	0.0410760578467026	0.0936282595250798	0.113690476121106	0.0737305665119618	0.0400889015903476	0.0201335731869884	0.208551917404416	0.0210729091080805	0.0301196706846224	5.49830294078956e-6	0	0	0	1.42040656243295e-4	0.0101290002794586	0.0401989996713159	0.0309312307221226	0.13267246481186007	0.208551917404416	0.144241260399595	0.1138194681023094	0.1321865226019427	0.2685283666798768	0.208551917404416	0.144241260399595	0.1138194681023094	0.1321865226019427	0.2483947934928884	0.051192579792702905	7.31153870759831e-5	1.42040656243295e-4	0	7.31153870759831e-5	5.49830294078956e-6	1.42040656243295e-4	0.041060231001581196	0.0401989996713159	0.051192579792702905	0.2685283666798768	0.1321865226019427	0.1138194681023094	0.208551917404416	0.144241260399595
