Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
Mix1	0.181016999686924	0.160216207681744	0.126334406902458	0.110550002717353	0.09046869251887	0.0703069565339301	0.060231285612342	0.0502123780796278	0.0400562219692218	0.0301450729076363	0.020159174885265	0.0200560186067276	0.0100435836827694	0.0100712052475704	0.0100401458598106	0.0100506322383041	0	2.80423527227952e-5	5.46632984883435e-6	0	0	7.50618687385215e-6	9999	0.999964514651113	0.410025700553669
Mix2	0.198482960114973	8.4515186691191e-4	0.182997888905926	0	0.179049830649975	2.48638572347398e-4	0.0995497413624619	4.30149143788213e-5	0.0896467159851069	0	0.0796786957294913	1.13671016950561e-4	0.0497178100370122	1.6378244515493e-5	0.0398287004898641	0	0.0398713997875604	1.20645972566066e-5	0.0199433031272237	0	0.019927512400724	2.65221973203287e-5	9999	0.999910197523273	0.482543402820762
Mix3	0	1.68636884817833e-4	0.0100723291717678	0.0103466255057788	0.0104288324476468	0.0206081739751479	0.0312562829208689	0.0521226790757193	0.0729425725766265	0.114991260082381	0.177319096850249	0.177028944895637	0.114367441163003	0.0728597064381178	0.0520491820245975	0.0312601751222513	0.0208950883898631	0.0104414572192976	0.0104674599572817	0.0103678242235743	6.23107537252868e-6	0	9999	0.999999459349189	0.396450655682411
Mix4	0.174040584936522	0.122633084050245	0.0790549497649625	0.0613055153140285	0.0308809546289227	0.0204200689774713	0.0102983578286227	0	0	3.51330724092554e-5	4.43791257170703e-5	0	6.04022053999697e-5	1.2239699407836e-4	1.28752988742302e-5	0.0101816948149978	0.0204110893950172	0.0307010698079041	0.0615710229060819	0.081629807791384	0.122676358663929	0.173920254423432	9999	0.99997983606232	0.49176605257043
Mix5	0	0	9.80822914932737e-6	0	8.17629558738982e-6	0	3.08242096036519e-5	0.010354103629314	0.0309296508949898	0.0413411029707974	0.0309931203729042	0.0205715066947913	0.020572397290755	0.0412521213608073	0.092723094130638	0.113370985937984	0.0825269641989812	0.0515473638586567	0.0413583134730958	0.0720922738270779	0.144228293054139	0.206089899570728	9999	0.999999468124854	0.514102632060841
