gene	sample	expression
ABCC8	s5	16.635537928
ABCC9	s1	96.267092425
ABCC9	s2	85.7899397912
ABCC9	s3	58.9286714438
ABCC9	s4	96.0815563068
ABCC9	s5	69.7263279628
ABCD1	s1	707.367424252
ABCD1	s2	683.079619386
ABCD1	s3	521.252431776
ABCD1	s4	737.374662458
ABCD1	s5	631.500681356
ABCD2	s1	110.4355746321
ABCD2	s2	88.0911140643
ABCD2	s3	55.840991493
ABCD2	s4	89.0659205964
ABCD2	s5	53.6533352279
ABCD3	s1	455.683600906
ABCD3	s2	512.54730475
ABCD3	s3	744.016086775
ABCD3	s4	371.127254796
ABCD3	s5	481.046682633
ABCD4	s1	232.03922954
ABCD4	s2	239.393449707
ABCD4	s3	218.161234377
ABCD4	s4	213.133269842
ABCD4	s5	202.315384585
ABCE1	s1	752.237599532
ABCE1	s2	762.025153057
ABCE1	s3	744.693070432
ABCE1	s4	568.267523193
ABCE1	s5	554.364247119
ABCF1	s1	1683.91856028
ABCF1	s2	1650.10564571
ABCF1	s3	1731.65736072
ABCF1	s4	1551.356224965
ABCF1	s5	1539.36666059
ABCF2	s1	241.690685921
ABCF2	s2	236.8866209846
ABCF2	s3	266.775854574
ABCF2	s4	173.7496483609
ABCF2	s5	184.2679787352
ABCF3	s1	511.347889476
ABCF3	s2	498.3405248
ABCF3	s3	399.750265806
ABCF3	s4	507.072815805
ABCF3	s5	453.302163584
ABCG1	s1	233.9631381969
ABCG1	s2	225.5918852597
ABCG1	s3	234.3165107355
ABCG1	s4	380.451771526
ABCG1	s5	471.3009357554
ABCG2	s1	350.6534195061
ABCG2	s2	383.6240491558
ABCG2	s3	193.5095749285
ABCG2	s4	303.9910721104
ABCG2	s5	191.8585315377
ABCG4	s1	338.318462485
ABCG4	s2	316.393985908
ABCG4	s3	209.900458951
ABCG4	s4	340.305072588
ABCG4	s5	235.137079293
ABCG5	s1	18.44968888232
ABCG5	s2	21.14618876575
ABCG5	s3	14.37849209751
ABCG5	s4	25.45736484687
ABCG5	s5	26.71968917568
ABHD10	s1	1055.95217921
ABHD10	s2	1071.446844351
ABHD10	s3	845.242807178
ABHD10	s4	998.083025842
ABHD10	s5	835.350779452
ABHD11	s1	520.491199034
ABHD11	s2	557.941203907
ABHD11	s3	382.451946202
ABHD11	s4	515.925979096
ABHD11	s5	416.842539266
ABHD14A	s1	756.835984132
ABHD14A	s2	748.733707816
ABHD14A	s3	433.593069993
ABHD14A	s4	553.571570089
ABHD14A	s5	351.114748936
ABHD2	s1	352.1499410266
ABHD2	s2	421.413715398
ABHD2	s3	609.4983155562
ABHD2	s4	586.432887127
ABHD2	s5	732.9449362438
ABHD3	s1	767.298653465
ABHD3	s2	638.903720162
ABHD3	s3	1063.145499597
ABHD3	s4	763.477839279
ABHD3	s5	973.091650058
ABHD4	s1	913.838083594
ABHD4	s2	914.794898731
ABHD4	s3	663.517255468
ABHD4	s4	1128.864172587
ABHD4	s5	955.124899803
ABHD5	s1	223.449744717
ABHD5	s2	256.69690018
ABHD5	s3	272.852013038
ABHD5	s4	597.09953682
ABHD5	s5	684.865938326
ABHD6	s1	115.5984545075
ABHD6	s2	134.8517825092
ABHD6	s3	207.6835676728
ABHD6	s4	147.7501490332
ABHD6	s5	270.523024706
ABHD8	s1	31.90926062083
ABHD8	s2	43.655378979
ABHD8	s3	82.50460118538
ABHD8	s4	30.56282755958
ABHD8	s5	74.3384593316
ABI1	s1	1716.014571654
ABI1	s2	1554.987528944
ABI1	s3	1602.679248648
ABI1	s4	1593.861801448
ABI1	s5	1663.20962222
ABI2	s1	669.06828457
ABI2	s2	599.596680639
ABI2	s3	379.946618998
ABI2	s4	624.560306155
ABI2	s5	400.08521436
ABL1	s1	691.778701213
ABL1	s2	679.169341795
ABL1	s3	686.532047854
ABL1	s4	635.581082862
ABL1	s5	640.194861671
ABL2	s1	290.99841117
ABL2	s2	272.616117006
ABL2	s3	197.099514241
ABL2	s4	314.303931668
ABL2	s5	262.516259963
ABLIM1	s1	1722.007963892
ABLIM1	s2	1647.3417790044
ABLIM1	s3	754.830057549
ABLIM1	s4	938.4417779306
ABLIM1	s5	304.8576969244
ABLIM3	s1	25.8046192924
ABLIM3	s2	25.19456551228
ABLIM3	s3	17.819561
ABLIM3	s4	24.44618963498
ABLIM3	s5	19.02597706576
ABO	s1	15.49067193624
ABO	s2	16.20802993844
ABO	s3	18.53754396862
ABO	s4	19.1156466822
ABO	s5	22.61265170338
ABP1	s1	115.3830953503
ABP1	s2	120.2693555796
ABP1	s3	91.0029831884
ABP1	s4	187.6368064668
ABP1	s5	201.2092340038
ABR	s1	423.440051719
ABR	s2	485.048270259
ABR	s3	572.26804697
ABR	s4	483.770988226
ABR	s5	733.612884538
ABT1	s1	480.729985942
ABT1	s2	528.416437012
ABT1	s3	649.214452585
ABT1	s4	408.205702706
ABT1	s5	519.025766777
ABTB2	s1	327.684643189
ABTB2	s2	389.599002471
ABTB2	s3	294.586952609
ABTB2	s4	613.398421609
ABTB2	s5	756.584334074
ACAA1	s1	716.563869364
ACAA1	s2	835.865831536
ACAA1	s3	712.409619766
ACAA1	s4	1007.777508988
ACAA1	s5	1069.295693329
ACAA2	s1	340.6565555126
ACAA2	s2	514.9512407357
ACAA2	s3	1116.7710943592
ACAA2	s4	342.0532456982
ACAA2	s5	885.9075798097
ACACA	s1	46.2667601601
ACACA	s2	68.6236948878
ACACA	s3	81.0336827028
ACACA	s4	92.235090259
ACACA	s5	109.8350464613
ACACB	s1	187.6743186009
ACACB	s2	209.8191692898
ACACB	s3	120.475315457
ACACB	s4	229.6380640731
ACACB	s5	209.1967431957
ACAD10	s1	211.3336671824
ACAD10	s2	257.6454322778
ACAD10	s3	171.8493283349
ACAD10	s4	212.224031542
ACAD10	s5	236.2229616585
ACAD8	s1	509.339784267
ACAD8	s2	491.092182772
ACAD8	s3	425.557757994
ACAD8	s4	489.86975271
ACAD8	s5	435.161273174
ACADL	s1	52.3551318485
ACADL	s2	45.218662468
ACADL	s3	39.8069933708
ACADL	s4	52.8513624578
ACADL	s5	39.2611922145
ACADM	s1	1317.732652459
ACADM	s2	1123.674685094
ACADM	s3	960.257876009
ACADM	s4	991.183354768
ACADM	s5	663.127024318
ACADS	s1	242.982927893
ACADS	s2	267.717714561
ACADS	s3	290.137278288
ACADS	s4	222.356713094
ACADS	s5	269.524025531
ACADSB	s1	115.3200451283
ACADSB	s2	120.6274899063
ACADSB	s3	92.4870415241
ACADSB	s4	98.2307465517
ACADSB	s5	92.3779113129
ACADVL	s1	2852.41236896
ACADVL	s2	3362.31674371
ACADVL	s3	2396.95675825
ACADVL	s4	2483.71518555
ACADVL	s5	2269.51778805
ACAN	s1	150.115804831
ACAN	s2	156.588496661
ACAN	s3	141.983266324
ACAN	s4	215.869070095
ACAN	s5	227.875956482
ACAP1	s1	622.0653006656
ACAP1	s2	656.93277743
ACAP1	s3	466.7711046651
ACAP1	s4	416.3047121485
ACAP1	s5	348.82484118
ACAP2	s1	1197.821235085
ACAP2	s2	1065.301395142
ACAP2	s3	1052.655642104
ACAP2	s4	1371.768573033
ACAP2	s5	1264.775046609
ACAT1	s1	1082.470371173
ACAT1	s2	1101.064030104
ACAT1	s3	854.93392472
ACAT1	s4	820.2630054944
ACAT1	s5	732.933318688
ACAT2	s1	640.93023913
ACAT2	s2	632.480798321
ACAT2	s3	816.335100982
ACAT2	s4	568.631378496
ACAT2	s5	624.157112098
ACBD3	s1	933.534156079
ACBD3	s2	959.846587812
ACBD3	s3	588.169874257
ACBD3	s4	859.205174644
ACBD3	s5	577.113754774
ACBD4	s1	247.8211146315
ACBD4	s2	304.5383443702
ACBD4	s3	226.2190979507
ACBD4	s4	174.55194497
ACBD4	s5	189.2945480476
ACCN1	s1	46.2494957065
ACCN1	s2	48.8659950419
ACCN1	s3	33.3649358281
ACCN1	s4	47.0267470629
ACCN1	s5	38.7365158265
ACCN2	s1	186.6122763203
ACCN2	s2	185.8772704854
ACCN2	s3	95.4192099551
ACCN2	s4	182.178295144
ACCN2	s5	116.0439435539
ACCN3	s1	332.608972909
ACCN3	s2	311.717891719
ACCN3	s3	189.330327702
ACCN3	s4	351.066657248
ACCN3	s5	240.284560279
ACCN4	s1	42.3316882192
ACCN4	s2	46.2374822206
ACCN4	s3	50.6951300561
ACCN4	s4	58.7834689044
ACCN4	s5	62.7580851522
ACD	s1	358.5772376885
ACD	s2	327.7579029423
ACD	s3	460.6931009267
ACD	s4	275.8778748232
ACD	s5	312.172458495
