sample	T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
Mix1	1265.63385878286	443.01350194447	799.06488754465	257.277248922286	3756.28757755981	248.713318290486	237.208779554528	149.179055200674	74.63343268673	120.04011720545
Mix2	1117.48541356447	40.80078818852	592.818716603108	236.903352689436	2809.70940483784	476.828664798571	596.44696871014	168.117020856801	81.5469695760161	114.255427989538
Mix3	831.415955022739	68.46217109457	2521.1804988208	473.003301222839	176.653763782868	862.517297432643	384.919424752824	205.170109207945	57.7385947652074	95.5043649203375
Mix4	411.236602032941	246.28505665531	306.159197545378	196.256655625249	3101.05994039093	413.466918890457	479.88839903627	1085.9986904064	101.742420089703	116.13686894575
Mix5	299.339962685923	23.55175720301	498.44543145405	190.550488893614	159.285727478111	1377.01117305879	1167.16512734006	1260.07657208526	93.5553311736383	101.957676107125
