Hugo	test_sample1	test_sample2
AC002310.7	0.170351	0
AC002314.4	0	0
AC002331.1	0	0
AC002366.1	0	0
AC002366.3	0	0
AC002368.4	0	0
AC002383.2	0	0
AC002386.1	0	0
AC002389.1	0	0
AC002395.1	0	0
AC002398.11	0	0
AC002398.12	0	0
AC002398.13	15.5178	31.6937
AC002398.9	6.99716	6.81769
AC002400.1	0	0
AC002401.1	0	0
AC002429.1	0	0
AC002429.4	0	0
AC002429.5	0	0
AC002451.3	4.00194	26.5857
AC002454.1	0	0
AC002456.2	0	0
AC002463.3	0	0
AC002464.1	0	0
AC002465.2	0	0
AC002467.7	0	0
AC002472.11	0	0
AC002480.2	0	0
AC002480.3	0	0
AC002480.4	0	0
AC002480.5	0	0
AC002486.2	0	0
AC002486.3	0	0
AC002511.2	0	0
AC002511.3	0	0
AC002519.6	0	0
AC002519.8	0	0
AC002523.1	0	0
AC002530.1	0	0
AC002539.1	0	0
AC002539.2	0	0
AC002542.2	0	0
AC002543.2	0	0
AC002550.5	0	0
AC002550.6	0	0
AC002551.1	0	0
AC002553.4	0	0
AC002558.1	0	0
AC002978.1	0	0
AC002979.1	0	0
AC002981.1	0	0
AC002984.2	0	0
AC002985.3	0	0
AC003001.1	0	0
AC003002.4	0	0
AC003002.6	0	0
AC003003.5	0	0
AC003005.2	0	0
AC003005.4	0	0
AC003006.1	0	0
AC003006.7	6.7341	0
AC003009.1	0	0
AC003045.1	0	0
AC003075.4	0	0
AC003080.4	0	0
AC003084.2	0	0
AC003088.1	0	0
AC003090.1	0	0
AC003092.1	0	0
AC003092.2	0	0
AC003101.1	0	0
AC003104.1	2.99505	2.91823
AC003658.1	0	0
AC003664.1	0	0
AC003666.1	0	0
AC003681.1	0	0
AC003682.16	0	0
AC003682.17	0	0
AC003688.1	0	0
AC003956.1	0	0
AC003958.2	0	0
AC003958.6	0	0
AC003968.1	0	0
AC003973.1	0	0
AC003973.3	0	0
AC003973.4	0	0
AC003973.5	0	0
AC003984.1	0	0
AC003985.1	0	0
AC003986.5	0	0
AC003986.6	0	0
AC003986.7	0	0
AC003988.1	0	0
AC003989.3	0	0
AC003989.4	0	0
AC003991.3	5.30148	13.9635
AC004000.1	0	0
AC004000.2	0	0
AC004004.2	0	0
AC004006.2	0	0
AC004009.1	0	0
AC004009.2	0	0
AC004009.3	0	0
AC004012.1	0	0
AC004014.3	0	0
AC004016.1	0	0
AC004019.10	0	0
AC004019.13	0	0
AC004022.7	0	0
AC004022.8	0	0
AC004051.2	0	0
AC004052.1	0	0
AC004053.1	0	0
AC004053.2	0	0
AC004054.1	0	0
AC004057.1	1762.862	1853.748
AC004062.2	0	0
AC004063.1	0	0
AC004066.2	0	0
AC004066.3	0	0
AC004067.5	7.75364	7.55477
AC004069.1	0	0
AC004069.2	0	0
AC004070.1	0	0
AC004074.4	0	0
AC004076.5	1.24346	1.21157
AC004076.7	0	0
AC004076.9	0	0
AC004079.1	0	0
AC004108.1	0	0
AC004112.4	0	0
AC004125.3	0	0
AC004129.7	0	0
AC004129.9	0	0
AC004156.3	0.660971	0
AC004158.1	0	0
AC004158.3	0	0
AC004159.1	0	0
AC004160.4	0	0
AC004221.2	0	0
AC004231.2	0	0
AC004237.1	23.5165	16.53
AC004257.1	0	0
AC004381.6	0	0
AC004381.7	0	0
AC004383.3	0	0
AC004386.3	0	0
AC004386.4	3.46114	0
AC004448.2	0	0
AC004448.5	0	0
AC004449.6	0	0
AC004453.1	0	0
AC004453.8	0	0
AC004458.1	0	0
AC004460.1	0	0
AC004461.4	0	0
AC004470.1	0	0
AC004471.10	0	0
AC004471.9	0	0
AC004477.1	289.869	0
AC004485.3	0	0
AC004490.1	0	0
AC004492.1	0	0
AC004510.3	0	0
AC004520.1	0	0
AC004535.2	0	0
AC004538.3	0	0
AC004540.4	0	0
AC004540.5	0	0
AC004541.1	0	0
AC004543.1	0	0
AC004543.2	0	0
AC004549.6	0	0
AC004552.1	0	0
AC004593.3	0	0
AC004595.1	231.875	0
AC004603.4	0	0
AC004623.2	0	0
AC004623.3	0	0
AC004637.1	0	0
AC004655.1	5.45586	21.2665
AC004656.1	215.34	430.531
AC004673.1	0	0
AC004691.1	0	0
AC004691.5	0	0
AC004692.4	0	0
AC004692.5	0	0
AC004699.1	0	0
AC004702.2	92.0683	0
AC004744.3	0	0
AC004745.1	0	0
AC004754.3	0	0
AC004769.1	0	0
AC004775.5	0	0
AC004791.2	0	0
AC004812.1	0	0
AC004813.1	19.4754	0
AC004816.1	0	0
AC004819.1	0	0
AC004824.1	0	0
AC004824.2	115.782	176.328
AC004832.1	189.353	376.548
AC004837.1	0	0
AC004837.3	0	0
AC004837.4	0	0
AC004837.5	0	0
AC004840.8	0	0
AC004846.1	0	0
AC004850.1	0	0
AC004853.1	0	0
AC004854.4	0	0
AC004854.5	0	0
AC004862.6	0	0
AC004866.1	0	0
AC004866.3	0	0
AC004869.2	0	0
AC004869.3	0	0
AC004870.3	0	0
AC004870.4	0	0
AC004870.5	0	0
AC004875.1	0	0
AC004878.2	0	0
AC004878.8	0	0
AC004893.10	0	0
AC004893.11	11.40401	10.9076
AC004895.1	0	0
AC004895.4	0	0
AC004899.3	0	0
AC004901.1	0	0
AC004906.3	0	0
AC004911.2	0	0
AC004915.1	0	0
AC004920.2	0	0
AC004920.3	0	0
AC004924.1	0	0
AC004932.1	228.357	0
AC004938.5	0	0
AC004941.3	0	0
AC004941.5	0	0
AC004943.1	0	0
AC004945.1	0	0
AC004946.1	0	0
AC004947.2	0	0
AC004951.5	0	0
AC004951.6	5.5788	3.53349
AC004953.1	18.5974	0
AC004967.7	19.4439	15.2619
AC004969.1	0	0
AC004980.1	0	0
AC004980.10	0	0
AC004980.7	3.53786	0
AC004980.8	0	0
AC004980.9	0	0
AC004984.1	0	0
AC004985.12	6.91724	5.73753
AC004987.10	0	0
AC004987.9	0	0
AC004988.1	0	0
AC005000.1	0	0
AC005008.2	0	0
AC005008.3	0	0
AC005009.1	0	0
AC005009.2	0	0
AC005013.5	0	0
AC005014.5	0	0
AC005017.2	0	0
AC005019.2	0	0
AC005019.3	0	0
AC005020.1	0	0
AC005024.1	0	0
AC005027.3	0	0
AC005033.6	0	0
AC005034.2	0	0
AC005037.1	0	0
AC005037.3	0	11.8564
AC005040.3	0	0
AC005041.11	0	0
AC005042.1	0	0
AC005042.2	0	0
AC005042.3	104.064	211.462
AC005042.4	0	0
AC005042.5	0	0
AC005048.1	0	0
AC005052.1	0	0
AC005062.2	0	0
AC005071.1	0	0
AC005071.2	0	0
AC005071.3	0	0
AC005071.4	0	0
AC005076.5	0	0
AC005077.14	0	0
AC005077.5	0	0
AC005077.7	0	0
AC005077.8	0	0
AC005077.9	0	0
AC005082.1	0	0
AC005082.12	1.05904	2.06376
AC005083.1	0	0
AC005086.1	0	0
AC005086.2	0	0
AC005086.3	0	0
AC005088.1	0	0
AC005094.2	0	0
AC005102.1	0	0
AC005104.3	0	0
AC005105.2	0	0
AC005150.1	0	0
AC005150.2	0	0
AC005150.3	0	0
AC005152.3	0	0
AC005154.6	125.72497	124.644177
AC005154.7	4.74022	4.38076
AC005154.8	0	0
AC005158.1	0	0
AC005159.1	0	0
AC005160.3	0	0
AC005162.4	0	0
AC005162.5	0	0
AC005176.1	0	0
AC005176.2	0	0
AC005176.3	0	0
AC005178.1	0	0
AC005187.1	0	0
AC005189.6	0	0
AC005197.2	0	0
AC005204.1	0	0
AC005215.1	0	0
AC005220.3	0	0
AC005224.2	0	0
AC005227.1	0	0
AC005229.1	0	0
AC005229.5	0	0
AC005229.7	0	0
AC005235.1	5.32134	0
AC005237.2	0	0
AC005237.4	0	0
AC005251.3	0	0
AC005253.2	1.17005	0
AC005253.4	10.8053	0
AC005255.3	180.089	234.852
AC005255.5	0	0
AC005255.6	0	0
AC005256.1	0	0
AC005262.2	0	0
AC005262.3	0	0
AC005262.4	0	0
AC005264.2	0	0
AC005276.1	3.82423	0
AC005281.1	0	0
AC005281.2	0	0
AC005284.1	0	0
AC005284.2	0	208.754
AC005288.1	0	0
AC005300.5	0	0
AC005301.8	0	0
AC005304.1	0	0
AC005306.3	38.7202	37.7533
AC005307.1	0	0
AC005307.3	1.37969	1.38216
AC005324.6	0	0
AC005324.7	0	0
AC005329.7	0	0
AC005330.2	0	0
AC005336.4	0	0
AC005336.5	0	0
AC005339.1	0	0
AC005339.2	0	0
AC005351.1	0	0
AC005355.1	0	0
AC005355.2	0	0
AC005355.3	0	0
AC005357.1	0	0
AC005358.3	0	0
AC005363.11	0	0
AC005363.9	0	0
AC005371.1	0	0
AC005375.1	0	0
AC005387.2	16.1186	15.7052
AC005387.3	0	0
AC005391.2	0	0
AC005392.13	0	0
AC005394.1	0	0
AC005412.1	0	0
AC005477.1	0	0
AC005480.1	0	0
AC005481.5	0	0
AC005487.2	0	0
AC005488.11	0	0
AC005498.1	0	0
AC005498.3	0	0
AC005498.4	0	0
AC005513.1	0	0
AC005514.2	0	0
AC005517.3	6.96884	13.4035
AC005518.2	0	0
