sample	EPIC_B_Cells	EPIC_CAFs	EPIC_CD4_T_Cells	EPIC_CD8_T_Cells	EPIC_Endothelial	EPIC_Macrophages	EPIC_NK_Cells	EPIC_Other_Cells
Mix1	0.2238917277443314	0.0010336197303140212	0.6160410610879514	0.04999182746200673	0.005303324442799394	0.004920550279422608	6.78467333400254e-13	0.09881788925249607
Mix2	0.15401236326221782	8.165904668205292e-4	0.5436788571881446	0.0335567668105569	0.00745041922929942	0.007905000573496385	7.767627727610211e-11	0.25258000239178813
Mix3	0.007741088498167531	7.308960951225759e-4	0.38276655801554627	0.10045628063957712	0.012282861685183595	0.02446412621298461	0.04499880340306321	0.4265593854503551
Mix4	0.2075336515716655	0.0016335640474412995	0.3158352495621372	0.031210207899747853	0.01295063216454497	0.018431205985738542	3.439312563160167e-10	0.41240548842479335
Mix5	0.010720549710428576	0.0010933008635398641	0.2575674981086729	0.05301485719686165	0.014089749628257695	0.04149320164535912	0.002225705882085882	0.6197951369647943
