sample	B.cells.Aggregate2.Absolute	B.cells.Aggregate3.Absolute	B.cells.memory.Absolute	B.cells.naive.Absolute	Dendritic.cells.activated.Absolute	Dendritic.cells.Aggregate1.Absolute	Dendritic.cells.Aggregate2.Absolute	Dendritic.cells.Aggregate3.Absolute	Dendritic.cells.resting.Absolute	Eosinophils.Absolute	Eosinophils.Aggregate1.Absolute	Eosinophils.Aggregate2.Absolute	Eosinophils.Aggregate3.Absolute	Lymphocytes.Aggregate1.Absolute	Macrophage.Aggregate1.Absolute	Macrophage.Aggregate2.Absolute	Macrophage.Aggregate3.Absolute	Macrophages.M0.Absolute	Macrophages.M1.Absolute	Macrophages.M2.Absolute	Mast.cells.activated.Absolute	Mast.cells.Aggregate1.Absolute	Mast.cells.Aggregate2.Absolute	Mast.cells.Aggregate3.Absolute	Mast.cells.resting.Absolute	Monocytes.Absolute	Neutrophils.Absolute	Neutrophils.Aggregate1.Absolute	Neutrophils.Aggregate2.Absolute	Neutrophils.Aggregate3.Absolute	NK.cells.activated.Absolute	NK.cells.Aggregate2.Absolute	NK.cells.Aggregate3.Absolute	NK.cells.resting.Absolute	Plasma.cells.Absolute	Plasma.cells.Aggregate3.Absolute	T.cells.CD4.Aggregate2.Absolute	T.cells.CD4.Aggregate3.Absolute	T.cells.CD4.memory.activated.Absolute	T.cells.CD4.memory.resting.Absolute	T.cells.CD4.naive.Absolute	T.cells.CD8.Absolute	T.cells.CD8.Aggregate2.Absolute	T.cells.CD8.Aggregate3.Absolute	T.cells.follicular.helper.Absolute	T.cells.gamma.delta.Absolute	T.cells.gamma.delta.Aggregate3.Absolute	T.cells.regulatory..Tregs.Absolute	B.cells.Aggregate2.Relative	B.cells.Aggregate3.Relative	B.cells.memory.Relative	B.cells.naive.Relative	Dendritic.cells.activated.Relative	Dendritic.cells.Aggregate1.Relative	Dendritic.cells.Aggregate2.Relative	Dendritic.cells.Aggregate3.Relative	Dendritic.cells.resting.Relative	Eosinophils.Aggregate1.Relative	Eosinophils.Aggregate2.Relative	Eosinophils.Aggregate3.Relative	Eosinophils.Relative	Lymphocytes.Aggregate1.Relative	Macrophage.Aggregate1.Relative	Macrophage.Aggregate2.Relative	Macrophage.Aggregate3.Relative	Macrophages.M0.Relative	Macrophages.M1.Relative	Macrophages.M2.Relative	Mast.cells.activated.Relative	Mast.cells.Aggregate1.Relative	Mast.cells.Aggregate2.Relative	Mast.cells.Aggregate3.Relative	Mast.cells.resting.Relative	Monocytes.Relative	Neutrophils.Aggregate1.Relative	Neutrophils.Aggregate2.Relative	Neutrophils.Aggregate3.Relative	Neutrophils.Relative	NK.cells.activated.Relative	NK.cells.Aggregate2.Relative	NK.cells.Aggregate3.Relative	NK.cells.resting.Relative	Plasma.cells.Aggregate3.Relative	Plasma.cells.Relative	T.cells.CD4.Aggregate2.Relative	T.cells.CD4.Aggregate3.Relative	T.cells.CD4.memory.activated.Relative	T.cells.CD4.memory.resting.Relative	T.cells.CD4.naive.Relative	T.cells.CD8.Aggregate2.Relative	T.cells.CD8.Aggregate3.Relative	T.cells.CD8.Relative	T.cells.follicular.helper.Relative	T.cells.gamma.delta.Aggregate3.Relative	T.cells.gamma.delta.Relative	T.cells.regulatory..Tregs.Relative
Mix1	0.0338621929543072	0.0338621929543072	0.0158607213935158	0.0180014715607914	2.9974342922420902e-6	3.944191903676889e-5	3.944191903676889e-5	3.944191903676889e-5	3.64444847445268e-5	2.84436839797628e-5	2.84436839797628e-5	2.84436839797628e-5	2.84436839797628e-5	0.0957032057224464	0.00414616245165596	0.0030695284367618803	0.00414616245165596	0.00103233959943776	0.0010100990821509902	0.00102708975517313	0	8.27462228812025e-5	8.27462228812025e-5	8.27462228812025e-5	8.27462228812025e-5	0.00107663401489408	0	0	0	0	0.0019176058590772201	0.003999573170337931	0.003999573170337931	0.00208196731126071	0.012352627923746801	0.012352627923746801	0.02217408437144492	0.03128741657291558	0.006160009764231001	0.007341759034961811	0.00867231557225211	0.011104744247109902	0.011104744247109902	0.011104744247109902	0.00518228579555542	0.00309665085402898	0.00309665085402898	0.00393104640591524	0.338621929543072	0.338621929543072	0.158607213935158	0.180014715607914	2.99743429224209e-5	3.944191903676889e-4	3.944191903676889e-4	3.944191903676889e-4	3.64444847445268e-4	2.84436839797628e-4	2.84436839797628e-4	2.84436839797628e-4	2.84436839797628e-4	0.9570320572244639	0.0414616245165596	0.0306952843676188	0.0414616245165596	0.0103233959943776	0.0101009908215099	0.0102708975517313	0	8.27462228812025e-4	8.27462228812025e-4	8.27462228812025e-4	8.27462228812025e-4	0.0107663401489408	0	0	0	0	0.0191760585907722	0.039995731703379306	0.039995731703379306	0.0208196731126071	0.123526279237468	0.123526279237468	0.2217408437144492	0.31287416572915583	0.06160009764231	0.0734175903496181	0.0867231557225211	0.111047442471099	0.111047442471099	0.111047442471099	0.0518228579555542	0.0309665085402898	0.0309665085402898	0.0393104640591524
Mix2	0.0397702528172726	0.0397702528172726	0	0.0397702528172726	0	0.00794230467671728	0.00794230467671728	0.00794230467671728	0.00794230467671728	0.0039612390610704	0.0039612390610704	0.0039612390610704	0.0039612390610704	0.16612154519414649	0.01796333468219515	0.008027831295042729	0.01796333468219515	1.897939600414868e-5	0.00800885189903858	0	0	0.00401157638587074	0.00401157638587074	0.00401157638587074	0.00401157638587074	0.00993550338715242	0	0	0	0	0	0.01590224707920876	0.01590224707920876	0.01590224707920876	0.0367845864865138	0.0367845864865138	0.055443140087570446	0.07345958982288264	0.019595091582794242	0	0.0358480485047762	8.723802499657621e-5	8.723802499657621e-5	8.723802499657621e-5	1.324331240846262e-5	1.1763096327209861e-4	1.1763096327209861e-4	0.01800320642290374	0.198851264086363	0.198851264086363	0	0.198851264086363	0	0.0397115233835864	0.0397115233835864	0.0397115233835864	0.0397115233835864	0.019806195305352	0.019806195305352	0.019806195305352	0.019806195305352	0.8306077259707324	0.08981667341097574	0.04013915647521364	0.08981667341097574	9.48969800207434e-5	0.0400442594951929	0	0	0.0200578819293537	0.0200578819293537	0.0200578819293537	0.0200578819293537	0.0496775169357621	0	0	0	0	0	0.0795112353960438	0.0795112353960438	0.0795112353960438	0.183922932432569	0.183922932432569	0.2772157004378522	0.3672979491144132	0.0979754579139712	0	0.179240242523881	4.36190124982881e-4	4.36190124982881e-4	4.36190124982881e-4	6.62165620423131e-5	5.88154816360493e-4	5.88154816360493e-4	0.0900160321145187
Mix3	2.141103705137604e-4	2.141103705137604e-4	2.141103705137604e-4	0	0.0032126007626350496	0.00950206918866336	0.00950206918866336	0.00950206918866336	0.00628946842602831	3.3173269659205795e-5	3.3173269659205795e-5	3.3173269659205795e-5	3.3173269659205795e-5	0.20288585281406704	0.0811711105897991	0.04696520055545571	0.0811711105897991	0.02175672046459443	0.01565785298537982	0.00955062710548146	0.00337162240296723	0.006304847703727152	0.006304847703727152	0.006304847703727152	0.002933225300759922	0.034205910034343395	1.029464340843261e-4	1.029464340843261e-4	1.029464340843261e-4	1.029464340843261e-4	0.0533831668357392	0.1068217768981959	0.1068217768981959	0.0534386100624567	0.00301965466256013	0.00301965466256013	0.018562544504038322	0.056020307998200417	0.00927523667427546	0.00606892788493344	0.00321837994482942	0.00311520477137574	0.00311520477137574	0.00311520477137574	0.01554090335040777	0.0336947981132211	0.0336947981132211	0.021916860143754328	7.13701235045868e-4	7.13701235045868e-4	7.13701235045868e-4	0	0.0107086692087835	0.0316735639622112	0.0316735639622112	0.0316735639622112	0.0209648947534277	1.10577565530686e-4	1.10577565530686e-4	1.10577565530686e-4	1.10577565530686e-4	0.6762861760468901	0.2705703686326637	0.1565506685181857	0.2705703686326637	0.0725224015486481	0.0521928432845994	0.0318354236849382	0.0112387413432241	0.02101615901242384	0.02101615901242384	0.02101615901242384	0.00977741766919974	0.114019700114478	3.43154780281087e-4	3.43154780281087e-4	3.43154780281087e-4	3.43154780281087e-4	0.177943889452464	0.356072589660653	0.356072589660653	0.178128700208189	0.0100655155418671	0.0100655155418671	0.061875148346794404	0.1867343599940014	0.0309174555809182	0.0202297596164448	0.0107279331494314	0.0103840159045858	0.0103840159045858	0.0103840159045858	0.0518030111680259	0.112315993710737	0.112315993710737	0.0730562004791811
Mix4	0.11977111058008241	0.11977111058008241	0.04975610653922	0.0700150040408624	0.012218919234743282	0.020152043547298923	0.020152043547298923	0.020152043547298923	0.007933124312555639	0.0482908302431492	0.0482908302431492	0.0482908302431492	0.0482908302431492	0.19972665359991695	0.003960318310586497	0.003960318310586497	0.003960318310586497	0	0	0.003960318310586497	0.03280045145568972	0.057988858643890244	0.057988858643890244	0.057988858643890244	0.02518840718820052	0	0.06988129565515801	0.06988129565515801	0.06988129565515801	0.06988129565515801	3.455457421874004e-5	3.455457421874004e-5	3.455457421874004e-5	0	0.031248282716249444	0.031248282716249444	0.024242330648904083	0.02429451102943261	0.00401911476549584	0.00797083239332244	0.0122523834900858	0.024358099299753362	0.024358099299753362	0.024358099299753362	5.2180380528527205e-5	2.0095400180393922e-5	2.0095400180393922e-5	0	0.299427776450206	0.299427776450206	0.12439026634805	0.175037510102156	0.0305472980868582	0.0503801088682473	0.0503801088682473	0.0503801088682473	0.0198328107813891	0.120727075607873	0.120727075607873	0.120727075607873	0.120727075607873	0.49931663399979237	0.00990079577646624	0.00990079577646624	0.00990079577646624	0	0	0.00990079577646624	0.0820011286392243	0.1449721466097256	0.1449721466097256	0.1449721466097256	0.0629710179705013	0	0.174703239137895	0.174703239137895	0.174703239137895	0.174703239137895	8.63864355468501e-5	8.63864355468501e-5	8.63864355468501e-5	0	0.0781207067906236	0.0781207067906236	0.0606058266222602	0.06073627757358152	0.010047786913739601	0.0199270809833061	0.0306309587252145	0.0608952482493834	0.0608952482493834	0.0608952482493834	1.30450951321318e-4	5.02385004509848e-5	5.02385004509848e-5	0
Mix5	3.655769353799155e-5	3.655769353799155e-5	0	3.655769353799155e-5	0.02553343110941745	0.06609326130097135	0.06609326130097135	0.06609326130097135	0.0405598301915539	0.0721206301997975	0.0721206301997975	0.0721206301997975	0.0721206301997975	0.06633623240593003	0.1342641833399384	0.1241973967464442	0.1342641833399384	0.0205380289233513	0.0468141297625399	0.056845238060553	0.0368652832559809	0.0569097340511547	0.0569097340511547	0.0569097340511547	0.0200444507951738	0.0100667865934942	0.104275958702208	0.104275958702208	0.104275958702208	0.104275958702208	0.01053645455404025	0.025596289896351453	0.025596289896351453	0.0150598353423112	2.74915147039478e-6	2.74915147039478e-6	0	0.020530115500790598	0	0	0	7.10203281216475e-5	7.10203281216475e-5	7.10203281216475e-5	0.0050645001397293	0.02009949983565795	0.02009949983565795	0.0154656153610613	7.31153870759831e-5	7.31153870759831e-5	0	7.31153870759831e-5	0.0510668622188349	0.1321865226019427	0.1321865226019427	0.1321865226019427	0.0811196603831078	0.144241260399595	0.144241260399595	0.144241260399595	0.144241260399595	0.13267246481186007	0.2685283666798768	0.2483947934928884	0.2685283666798768	0.0410760578467026	0.0936282595250798	0.113690476121106	0.0737305665119618	0.1138194681023094	0.1138194681023094	0.1138194681023094	0.0400889015903476	0.0201335731869884	0.208551917404416	0.208551917404416	0.208551917404416	0.208551917404416	0.0210729091080805	0.051192579792702905	0.051192579792702905	0.0301196706846224	5.49830294078956e-6	5.49830294078956e-6	0	0.041060231001581196	0	0	0	1.42040656243295e-4	1.42040656243295e-4	1.42040656243295e-4	0.0101290002794586	0.0401989996713159	0.0401989996713159	0.0309312307221226
